PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
1,2019,32,3,6,3,5,64,4030,1080,6,18,0,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 665 (11 nm),"Octa core, up to 2.0 GHz",Adreno 610,1,1
1,2020,8,3,3,3,4.2,32,5000,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
0,2019,5,2,1,3,4.1,8,3000,0,3,0,0,0,2,0,0,IPS LCD Touchscreen,0,Qualcomm Snapdragon 425 (28 nm),"Quad-core, 1.4 GHz",Adreno 308,0,0
1,2019,20,3,8,3,5,64,4500,1080,5,18,0,1,2,1,0,IPS LCD Touchscreen,1,Mediatek Helio G90T (12 nm),"Octa core, up to 2.05 GHz",Mali-G76 MC4,1,1
1,2019,13,3,6,3,5,32,4000,1080,5,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 665 (11nm),"Octa core, up to 2.0 GHz",Adreno 610,1,1
1,2019,8,3,4,3,4.2,32,5000,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,1,1
1,2019,8,3,3,3,4.2,32,5000,1080,4,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
1,2019,13,3,4,3,5,32,4000,1080,6,18,0,1,2,1,0,In-Cell LCD Touchscreen,1,Qualcomm Snapdragon 660 (14 nm),"Octa core, up to 2.2 GHz",Adreno 512,1,1
1,2019,13,3,6,3,5,64,4000,1080,6,18,0,1,2,1,0,In-Cell LCD Touchscreen,1,Qualcomm Snapdragon 675 (11 nm),"Octa core, up to 2.0 GHz",Adreno 612,1,1
1,2019,13,3,4,3,5,32,4000,1080,6,18,0,1,2,1,0,In-Cell LCD Touchscreen,1,Qualcomm Snapdragon 660 (14 nm),"Octa core, up to 2.2 GHz",Adreno 512,1,1
1,2019,32,3,4,3,4.2,32,4000,1080,6,10,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 632 (14 nm),"Octa core, 1.8 GHz",Adreno 506,1,1
1,2019,5,3,3,3,4.2,16,4000,1080,3,10,0,1,2,0,0,IPS LCD Touchscreen,0,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 2.0 GHz",Adreno 505,0,1
1,2019,8,3,3,3,4.2,16,4000,1080,5,10,0,1,2,0,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 632 (14 nm),"Octa core, 1.8 GHz",Adreno 512,1,1
3,2019,20,3,8,3,5,64,4000,1080,5,27,0,1,2,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 855 (7 nm),"Octa core, up to 2.84 GHz",Adreno 640,1,1
2,2018,20,4,6,3,5,64,4000,1080,6,18,0,1,2,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 845 (10 nm),"Octa core, up to 2.0 GHz",Adreno 612,1,1
1,2018,5,3,4,3,5,32,4000,1080,6,10,0,1,2,0,0,IPS LCD Touchscreen,0,Qualcomm Snapdragon 625 (14 nm),"Octa-core, 2.0 GHz",Adreno 506,1,1
1,2018,20,5,4,3,5,64,3000,1080,6,18,0,1,2,0,0,LTPS IPS LCD Touchscreen,1,Qualcomm Snapdragon 660 (14 nm),"Octa-core, up to 2.2 GHz",Adreno 512,1,1
1,2018,20,2,4,3,5,32,4000,1080,7,10,0,1,2,0,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 636 (14 nm),"Octa-core, 1.8 GHz",Adreno 509,1,1
1,2018,16,3,4,3,4.2,32,3080,1080,5,10,0,1,2,0,0,IPS LCD Touchscreen,0,Qualcomm Snapdragon 625 (14 nm),"Octa-core, 2.0 GHz",Adreno 506,1,1
0,2018,5,3,2,3,4.2,16,3000,0,3,0,0,1,2,0,0,IPS LCD Touchscreen,0,MediaTek Helio A22 (12 nm),"Quad-core, 2.0 GHz",PowerVR GE8320,0,1
